,name,team,league,num_hits_at_first_45,num_at_bats_season_remainder,batting_ave_season_remainder
1,Roberto Clemente,Pitts,NL,18,367,0.346
2,Frank Robinson,Balt,AL,17,426,0.298
3,Frank Howard,Wash,AL,16,521,0.276
4,Jay Johnstone,Cal,AL,15,275,0.222
5,Ken Berry,Chi,AL,14,418,0.273
6,Jim Spencer,Cal,AL,14,466,0.27
7,Don Kessinger,Chi,NL,13,586,0.263
8,Luis Alvarado,Bos,AL,12,138,0.21
9,Ron Santo,Chi,NL,11,510,0.269
10,Ron Swoboda,NY,NL,11,200,0.23
11,Del Unser,Wash,AL,10,277,0.264
12,Billy Williams,Chi,AL,10,270,0.256
13,George Scott,Bos,AL,10,435,0.303
14,Rico Petrocelli,Bos,AL,10,538,0.264
15,Ellie Rodriguez,KC,AL,10,186,0.226
16,Bert Campaneris,Oak,AL,9,558,0.285
17,Thurman Munson,NY,AL,8,408,0.316
18,Max Alvis,Mil,NL,7,70,0.2
